,2012,2013,2014,2015,2016,Phrase
007names,1.0,1.0,1.0,1.0,1,007names
it srl,2.0,1.0,1.0,1.0,1,it srl
it srl apisrs,2.0,1.0,1.0,1.0,1,it srl apisrs
it system,,,,,1,it system
it system bilgisayar,,,,,1,it system bilgisayar
itau,,,,,1,itau
itau unibanco,,,,,1,itau unibanco
itau unibanco holding,,,,,1,itau unibanco holding
itpi,1.0,1.0,1.0,1.0,1,itpi
its,,,,1.0,1,its
it spa,1.0,1.0,1.0,1.0,1,it spa
iusn,,,,1.0,1,iusn
iyengar,,,,,1,iyengar
iyengar sons,,,,,1,iyengar sons
iyengar sons limited,,,,,1,iyengar sons limited
jaguar,,,,,1,jaguar
jaguar land,,,,,1,jaguar land
jaguar land rover,,,,,1,jaguar land rover
jamboree,1.0,1.0,1.0,1.0,1,jamboree
jamboree llc,1.0,1.0,1.0,1.0,1,jamboree llc
james,,,,1.0,1,james
iusn foundation,,,,1.0,1,iusn foundation
james madison,,,,1.0,1,james madison
it ltd,1.0,1.0,1.0,1.0,1,it ltd
it companies of,1.0,,1.0,,1,it companies of
iserveyourdomain com,1.0,1.0,1.0,1.0,1,iserveyourdomain com
iserveyourdomain com llc,1.0,1.0,1.0,1.0,1,iserveyourdomain com llc
island administration,1.0,,1.0,,1,island administration
island data,1.0,,,,1,island data
island data services,1.0,,,,1,island data services
island inc,1.0,1.0,1.0,1.0,1,island inc
island internet,1.0,,,,1,island internet
island internet administration,1.0,,,,1,island internet administration
isnic,1.0,,1.0,,1,isnic
it inc,1.0,1.0,1.0,1.0,1,it inc
isnic internet,1.0,,1.0,,1,isnic internet
isoc,,,1.0,2.0,1,isoc
isoroku,,,1.0,1.0,1,isoroku
isoroku yamamoto,,,1.0,1.0,1,isoroku yamamoto
isoroku yamamoto llc,,,1.0,1.0,1,isoroku yamamoto llc
israel inc,1.0,1.0,1.0,1.0,1,israel inc
istanbul,,,,,1,istanbul
istanbul metropolitan,,,,,1,istanbul metropolitan
istanbul metropolitan municipality,,,,,1,istanbul metropolitan municipality
it companies,1.0,,1.0,,1,it companies
isnic internet iceland,1.0,,1.0,,1,isnic internet iceland
iserveyourdomain,1.0,1.0,1.0,1.0,1,iserveyourdomain
james madison llc,,,,1.0,1,james madison llc
japan broadcasting corporation,,,1.0,1.0,1,japan broadcasting corporation
john castle,,,1.0,1.0,1,john castle
john castle llc,,,1.0,1.0,1,john castle llc
john dale,,,1.0,1.0,1,john dale
john dale llc,,,1.0,1.0,1,john dale llc
john edge,,,1.0,1.0,1,john edge
john edge llc,,,1.0,1.0,1,john edge llc
john goodbye,,,1.0,1.0,1,john goodbye
john goodbye llc,,,1.0,1.0,1,john goodbye llc
john madison,,,1.0,1.0,1,john madison
jogjacamp,1.0,1.0,1.0,1.0,1,jogjacamp
john madison llc,,,1.0,1.0,1,john madison llc
john mccook llc,,,1.0,1.0,1,john mccook llc
joho,,,,,1,joho
joho system,,,,,1,joho system
joho system co,,,,,1,joho system co
joker,1.0,1.0,1.0,1.0,1,joker
joker com,1.0,1.0,1.0,1.0,1,joker com
jones,,,,1.0,1,jones
jones lang,,,,1.0,1,jones lang
jones lang lasalle,,,,1.0,1,jones lang lasalle
john mccook,,,1.0,1.0,1,john mccook
japan broadcasting,,,1.0,1.0,1,japan broadcasting
joan of arc,,,,1.0,1,joan of arc
joan,,,,1.0,1,joan
jarheaddomains,,,1.0,1.0,1,jarheaddomains
jarheaddomains com,,,1.0,1.0,1,jarheaddomains com
jarheaddomains com llc,,,1.0,1.0,1,jarheaddomains com llc
jcb,,,,1.0,1,jcb
jcb co,,,,1.0,1,jcb co
jcb co ltd,,,,1.0,1,jcb co ltd
jcp,,,,,1,jcp
jcp media,,,,,1,jcp media
jcp media inc,,,,,1,jcp media inc
joan of,,,,1.0,1,joan of
jefferson,,,,,1,jefferson
ji,4.0,2.0,2.0,1.0,1,ji
ji ming,4.0,2.0,2.0,1.0,1,ji ming
ji ming lian,4.0,2.0,2.0,1.0,1,ji ming lian
jinwanbang,2.0,1.0,1.0,1.0,1,jinwanbang
jinwanbang technology,2.0,1.0,1.0,1.0,1,jinwanbang technology
jinwanbang technology investment,2.0,1.0,1.0,1.0,1,jinwanbang technology investment
jiye,,,,1.0,1,jiye
jiye technology,,,,1.0,1,jiye technology
jiye technology co,,,,1.0,1,jiye technology co
jefferson llc,,,,,1,jefferson llc
iselect ltd,,,,,1,iselect ltd
iselect,,,,,1,iselect
isaac newton llc,,,,1.0,1,isaac newton llc
internet technology co,,,1.0,1.0,1,internet technology co
internet technology limited,,,,,1,internet technology limited
internetnz,1.0,1.0,1.0,1.0,1,internetnz
internetoplossing,1.0,1.0,1.0,1.0,1,internetoplossing
internetters,1.0,1.0,1.0,1.0,1,internetters
internetters limited,1.0,1.0,1.0,1.0,1,internetters limited
internetworx,1.0,1.0,1.0,1.0,1,internetworx
internetworx ltd,1.0,1.0,1.0,1.0,1,internetworx ltd
internetworx ltd co,1.0,1.0,1.0,1.0,1,internetworx ltd co
internet technologies inc,1.0,1.0,1.0,1.0,1,internet technologies inc
intersolved fl,,,1.0,1.0,1,intersolved fl
intersolved hi,,,1.0,1.0,1,intersolved hi
intersolved hi com,,,1.0,1.0,1,intersolved hi com
intersolved tn,,,1.0,1.0,1,intersolved tn
intersolved tn com,,,1.0,1.0,1,intersolved tn com
intersolved tx,,,1.0,1.0,1,intersolved tx
intersolved tx com,,,1.0,1.0,1,intersolved tx com
intersolved wa,,,1.0,1.0,1,intersolved wa
intersolved wa com,,,1.0,1.0,1,intersolved wa com
interweb,,,1.0,1.0,1,interweb
intersolved fl com,,,1.0,1.0,1,intersolved fl com
interweb advertising,,,1.0,1.0,1,interweb advertising
internet technologies and,1.0,,1.0,1.0,1,internet technologies and
internet solutions pte,,,,1.0,1,internet solutions pte
internet names ukrnames,1.0,1.0,1.0,1.0,1,internet names ukrnames
internet nayana,1.0,1.0,1.0,1.0,1,internet nayana
internet nayana inc,1.0,1.0,1.0,1.0,1,internet nayana inc
internet pte,,,,1.0,1,internet pte
internet pte ltd,,,,1.0,1,internet pte ltd
internet registration,1.0,1.0,1.0,,1,internet registration
internet registration corporation,1.0,,1.0,,1,internet registration corporation
internet sas,2.0,,1.0,1.0,1,internet sas
internet se,,,,1.0,1,internet se
internet solutions pty,1.0,1.0,1.0,1.0,1,internet solutions pty
internet service co,1.0,1.0,1.0,1.0,1,internet service co
internet service kiosk,1.0,1.0,2.0,1.0,1,internet service kiosk
internet service registrar,1.0,1.0,1.0,1.0,1,internet service registrar
internet services inc,1.0,1.0,2.0,1.0,1,internet services inc
internet services international,1.0,1.0,1.0,1.0,1,internet services international
internet services pvt,1.0,1.0,1.0,1.0,1,internet services pvt
internet society isoc,,,1.0,1.0,1,internet society isoc
internet society of,,,,1.0,1,internet society of
internet solutions llc,1.0,1.0,1.0,1.0,1,internet solutions llc
internet solutions ltd,1.0,1.0,1.0,1.0,1,internet solutions ltd
internet service gmbh,1.0,1.0,1.0,1.0,1,internet service gmbh
interweb advertising profile,,,1.0,1.0,1,interweb advertising profile
intra,1.0,1.0,1.0,1.0,1,intra
intra corp,1.0,1.0,1.0,1.0,1,intra corp
ip slu,1.0,1.0,1.0,1.0,1,ip slu
ip twins,,,1.0,1.0,1,ip twins
ipiranga,,,,,1,ipiranga
ipiranga produtos,,,,,1,ipiranga produtos
ipiranga produtos de,,,,,1,ipiranga produtos de
iplanrio,,,1.0,1.0,1,iplanrio
ipnic,1.0,1.0,1.0,1.0,1,ipnic
ipnic inc,1.0,1.0,1.0,1.0,1,ipnic inc
ipxcess,1.0,1.0,1.0,1.0,1,ipxcess
ip services co,,,,1.0,1,ip services co
ipxcess com,1.0,1.0,1.0,1.0,1,ipxcess com
iq,1.0,1.0,1.0,1.0,1,iq
iq ltd,1.0,1.0,1.0,1.0,1,iq ltd
iq ltd dba,1.0,1.0,1.0,1.0,1,iq ltd dba
ireland,,,,,1,ireland
iri,,,,1.0,1,iri
iri domain,,,,1.0,1,iri domain
iri domain management,,,,1.0,1,iri domain management
isaac,,,,1.0,1,isaac
isaac newton,,,,1.0,1,isaac newton
ipxcess com sdn,1.0,1.0,1.0,1.0,1,ipxcess com sdn
ip services,,,,1.0,1,ip services
ip mirror pte,1.0,1.0,1.0,1.0,1,ip mirror pte
ip limited,,,,1.0,1,ip limited
intracom,,,1.0,1.0,1,intracom
intracom middle,,,1.0,1.0,1,intracom middle
intracom middle east,,,1.0,1.0,1,intracom middle east
inversion,,,1.0,1.0,1,inversion
inversion de,,,1.0,1.0,1,inversion de
inversion de capital,,,1.0,1.0,1,inversion de capital
invest,1.0,1.0,1.0,1.0,1,invest
invest ltd,1.0,1.0,1.0,1.0,1,invest ltd
invest ltd dba,1.0,1.0,1.0,1.0,1,invest ltd dba
investment co,2.0,1.0,1.0,1.0,1,investment co
investment co ltd,2.0,1.0,1.0,1.0,1,investment co ltd
investment trusts,,,,1.0,1,investment trusts
investment trusts inc,,,,1.0,1,investment trusts inc
ion,,,,1.0,1,ion
ion limited,,,,,1,ion limited
ip dba,,,,,1,ip dba
ip dba appdetex,,,,,1,ip dba appdetex
ip holdings,,,,1.0,1,ip holdings
ip holdings llc,,,,1.0,1,ip holdings llc
ip international,,,,1.0,1,ip international
ip international ltd,,,,1.0,1,ip international ltd
joyeuse,,,,,1,joyeuse
joyeuse llc,,,,,1,joyeuse llc
jpmorgan,,,,,1,jpmorgan
jpmorgan chase,,,,,1,jpmorgan chase
korea inc,1.0,1.0,1.0,1.0,1,korea inc
korea information,1.0,1.0,1.0,1.0,1,korea information
korea information certificate,1.0,1.0,1.0,1.0,1,korea information certificate
korea server,1.0,1.0,1.0,1.0,1,korea server
korea server hosting,1.0,1.0,1.0,1.0,1,korea server hosting
koreacenter,1.0,1.0,1.0,1.0,1,koreacenter
koreacenter com,1.0,1.0,1.0,1.0,1,koreacenter com
koreacenter com co,1.0,1.0,1.0,1.0,1,koreacenter com co
kpn,,,,,1,kpn
korea corp,1.0,1.0,1.0,1.0,1,korea corp
kqw,,,1.0,1.0,1,kqw
kr,1.0,1.0,1.0,1.0,1,kr
kredtld,,,1.0,1.0,1,kredtld
kredtld pty,,,1.0,1.0,1,kredtld pty
kredtld pty ltd,,,1.0,1.0,1,kredtld pty ltd
krg,,,,1.0,1,krg
krg department,,,,1.0,1,krg department
krg department of,,,,1.0,1,krg department of
ktu,1.0,1.0,1.0,1.0,1,ktu
ktu itpi,1.0,1.0,1.0,1.0,1,ktu itpi
kqw inc,,,1.0,1.0,1,kqw inc
kuwait,,,,,1,kuwait
kontent gmbh,1.0,1.0,1.0,1.0,1,kontent gmbh
koninklijke philips,,,,1.0,1,koninklijke philips
knob town llc,,,1.0,1.0,1,knob town llc
koko island,,,,1.0,1,koko island
koko island llc,,,,1.0,1,koko island llc
koko lake,,,1.0,1.0,1,koko lake
koko lake llc,,,1.0,1.0,1,koko lake llc
koko mill,,,,1.0,1,koko mill
koko mill llc,,,,1.0,1,koko mill llc
koko moon,,,1.0,1.0,1,koko moon
koko moon llc,,,1.0,1.0,1,koko moon llc
kontent,1.0,1.0,1.0,1.0,1,kontent
koko station,,,1.0,1.0,1,koko station
komatsu,,,,1.0,1,komatsu
komatsu ltd,,,,1.0,1,komatsu ltd
kommun,,,,,1,kommun
kommunikation,1.0,,,,1,kommunikation
kommunikation gmbh,1.0,,,,1,kommunikation gmbh
kong internet,1.0,,1.0,,1,kong internet
kong internet registration,1.0,,1.0,,1,kong internet registration
kong limited,,,1.0,2.0,1,kong limited
koninklijke kpn,,,,,1,koninklijke kpn
koko station llc,,,1.0,1.0,1,koko station llc
kuwait finance,,,,,1,kuwait finance
kuwait finance house,,,,,1,kuwait finance house
kuwaitnet,1.0,1.0,1.0,1.0,1,kuwaitnet
ladas domains,1.0,1.0,1.0,1.0,1,ladas domains
ladas domains llc,1.0,1.0,1.0,1.0,1,ladas domains llc
lakeodomains,1.0,1.0,1.0,1.0,1,lakeodomains
